Draw date,Last Day To Claim,Winning Numbers,Exact Order Prize ($0.50 bet),Exact Order CO Winners ($0.50 bet),Exact Order Prize ($1 bet),Exact Order CO Winners ($1 bet),Exact Order Prize ($2 bet),Exact Order CO Winners ($2 bet),Exact Order Prize ($5 bet),Exact Order CO Winners ($5 bet),Any Order Prize ($0.50 bet),Any Order CO Winners ($0.50 bet),Any Order Prize ($1 bet),Any Order CO Winners ($1 bet),Any Order Prize ($2 bet),Any Order CO Winners ($2 bet),Any Order Prize ($5 bet),Any Order CO Winners ($5 bet),Front Pair Prize ($0.50 bet),Front Pair CO Winners ($0.50 bet),Front Pair Prize ($1 bet),Front Pair CO Winners ($1 bet),Front Pair Prize ($2 bet),Front Pair CO Winners ($2 bet),Front Pair Prize ($5 bet),Front Pair CO Winners ($5 bet),Back Pair Prize ($0.50 bet),Back Pair CO Winners ($0.50 bet),Back Pair Prize ($1 bet),Back Pair CO Winners ($1 bet),Back Pair Prize ($2 bet),Back Pair CO Winners ($2 bet),Back Pair Prize ($5 bet),Back Pair CO Winners ($5 bet),Exact Order Prize (exact+any $1 bet),Exact Order CO Winners (exact+any $1 bet),Exact Order Prize (exact+any $2 bet),Exact Order CO Winners (exact+any $2 bet),Exact Order Prize (exact+any $5 bet),Exact Order CO Winners (exact+any $5 bet),Any Order Prize (exact+any $1 bet),Any Order CO Winners (exact+any $1 bet),Any Order Prize (exact+any $2 bet),Any Order CO Winners (exact+any $2 bet),Any Order Prize (exact+any $5 bet),Any Order CO Winners (exact+any $5 bet)
"Oct. 24, 2020: Evening",04/22/2021,7 - 4 - 9,$250,1,$500,4,"$1,000",0,"$2,500",0,$40,7,$80,9,$160,1,$400,1,$30,1,$60,0,$120,2,$300,1,$30,1,$60,2,$120,0,$300,0,$290,3,$580,0,"$1,450",0,$40,20,$80,14,$200,4
"Oct. 24, 2020: Midday",04/22/2021,8 - 3 - 2,$250,2,$500,5,"$1,000",1,"$2,500",0,$40,7,$80,4,$160,0,$400,3,$30,3,$60,3,$120,2,$300,2,$30,1,$60,2,$120,0,$300,1,$290,9,$580,4,"$1,450",2,$40,28,$80,6,$200,0
"Oct. 23, 2020: Evening",04/21/2021,2 - 5 - 9,$250,1,$500,11,"$1,000",0,"$2,500",0,$40,15,$80,26,$160,5,$400,2,$30,0,$60,5,$120,4,$300,0,$30,0,$60,0,$120,1,$300,2,$290,4,$580,0,"$1,450",2,$40,30,$80,7,$200,2
"Oct. 23, 2020: Midday",04/21/2021,7 - 1 - 9,$250,2,$500,17,"$1,000",0,"$2,500",0,$40,14,$80,11,$160,4,$400,2,$30,2,$60,2,$120,2,$300,0,$30,2,$60,2,$120,1,$300,1,$290,12,$580,5,"$1,450",0,$40,22,$80,5,$200,1
"Oct. 22, 2020: Midday",04/20/2021,0 - 0 - 7,$250,1,$500,11,"$1,000",0,"$2,500",0,$80,0,$160,5,$320,0,$800,0,$30,1,$60,2,$120,1,$300,2,$30,0,$60,0,$120,0,$300,1,$330,5,$660,0,"$1,650",0,$80,4,$160,1,$400,0
"Oct. 22, 2020: Evening",04/20/2021,7 - 1 - 6,$250,2,$500,4,"$1,000",1,"$2,500",0,$40,7,$80,6,$160,2,$400,1,$30,1,$60,2,$120,3,$300,0,$30,3,$60,0,$120,2,$300,0,$290,4,$580,2,"$1,450",0,$40,17,$80,10,$200,3
"Oct. 21, 2020: Midday",04/19/2021,9 - 2 - 9,$250,2,$500,4,"$1,000",0,"$2,500",0,$80,5,$160,3,$320,1,$800,1,$30,1,$60,0,$120,0,$300,0,$30,2,$60,0,$120,0,$300,0,$330,5,$660,0,"$1,650",0,$80,3,$160,0,$400,0
"Oct. 21, 2020: Evening",04/19/2021,9 - 4 - 1,$250,2,$500,1,"$1,000",0,"$2,500",0,$40,6,$80,10,$160,1,$400,2,$30,2,$60,4,$120,0,$300,0,$30,8,$60,4,$120,1,$300,0,$290,2,$580,1,"$1,450",0,$40,24,$80,16,$200,1
"Oct. 20, 2020: Midday",04/18/2021,5 - 2 - 4,$250,1,$500,2,"$1,000",0,"$2,500",0,$40,7,$80,7,$160,4,$400,1,$30,3,$60,3,$120,3,$300,0,$30,6,$60,2,$120,0,$300,0,$290,2,$580,0,"$1,450",0,$40,30,$80,8,$200,0
"Oct. 20, 2020: Evening",04/18/2021,5 - 6 - 9,$250,1,$500,2,"$1,000",0,"$2,500",0,$40,6,$80,13,$160,18,$400,4,$30,3,$60,1,$120,1,$300,1,$30,2,$60,2,$120,0,$300,0,$290,6,$580,0,"$1,450",0,$40,30,$80,12,$200,0
"Oct. 19, 2020: Evening",04/17/2021,7 - 4 - 1,$250,3,$500,3,"$1,000",0,"$2,500",0,$40,19,$80,15,$160,2,$400,1,$30,5,$60,2,$120,0,$300,0,$30,2,$60,1,$120,0,$300,1,$290,4,$580,2,"$1,450",0,$40,28,$80,7,$200,3
"Oct. 19, 2020: Midday",04/17/2021,9 - 1 - 5,$250,3,$500,8,"$1,000",0,"$2,500",1,$40,6,$80,12,$160,2,$400,1,$30,1,$60,1,$120,0,$300,0,$30,2,$60,3,$120,0,$300,0,$290,9,$580,0,"$1,450",0,$40,22,$80,3,$200,1
"Oct. 18, 2020: Midday",04/16/2021,7 - 6 - 2,$250,2,$500,3,"$1,000",0,"$2,500",0,$40,9,$80,4,$160,2,$400,0,$30,3,$60,1,$120,1,$300,0,$30,1,$60,0,$120,1,$300,0,$290,4,$580,2,"$1,450",0,$40,20,$80,2,$200,2
"Oct. 18, 2020: Evening",04/16/2021,0 - 5 - 1,$250,0,$500,1,"$1,000",1,"$2,500",0,$40,11,$80,7,$160,6,$400,2,$30,1,$60,1,$120,1,$300,0,$30,1,$60,1,$120,0,$300,0,$290,3,$580,2,"$1,450",0,$40,21,$80,4,$200,4
"Oct. 17, 2020: Midday",04/15/2021,0 - 1 - 2,$250,3,$500,14,"$1,000",0,"$2,500",0,$40,18,$80,12,$160,2,$400,0,$30,1,$60,2,$120,1,$300,0,$30,6,$60,3,$120,1,$300,1,$290,16,$580,1,"$1,450",0,$40,37,$80,4,$200,0
"Oct. 17, 2020: Evening",04/15/2021,5 - 6 - 3,$250,0,$500,0,"$1,000",0,"$2,500",0,$40,8,$80,12,$160,1,$400,0,$30,4,$60,0,$120,1,$300,1,$30,1,$60,2,$120,1,$300,1,$290,3,$580,0,"$1,450",3,$40,23,$80,6,$200,1
"Oct. 16, 2020: Midday",04/14/2021,2 - 8 - 6,$250,2,$500,9,"$1,000",0,"$2,500",0,$40,5,$80,7,$160,1,$400,1,$30,0,$60,1,$120,4,$300,0,$30,0,$60,1,$120,0,$300,0,$290,4,$580,1,"$1,450",0,$40,27,$80,4,$200,4
"Oct. 16, 2020: Evening",04/14/2021,3 - 2 - 9,$250,0,$500,8,"$1,000",1,"$2,500",0,$40,14,$80,3,$160,1,$400,0,$30,2,$60,4,$120,0,$300,0,$30,3,$60,1,$120,0,$300,6,$290,12,$580,3,"$1,450",0,$40,15,$80,5,$200,0
"Oct. 15, 2020: Midday",04/13/2021,6 - 1 - 4,$250,1,$500,3,"$1,000",0,"$2,500",0,$40,12,$80,24,$160,0,$400,0,$30,0,$60,1,$120,0,$300,0,$30,1,$60,2,$120,1,$300,0,$290,14,$580,10,"$1,450",0,$40,41,$80,8,$200,1
"Oct. 15, 2020: Evening",04/13/2021,3 - 1 - 5,$250,0,$500,36,"$1,000",1,"$2,500",1,$40,18,$80,31,$160,2,$400,2,$30,3,$60,4,$120,1,$300,0,$30,7,$60,0,$120,2,$300,0,$290,18,$580,2,"$1,450",0,$40,28,$80,7,$200,3
"Oct. 14, 2020: Evening",04/12/2021,2 - 0 - 7,$250,0,$500,5,"$1,000",1,"$2,500",0,$40,12,$80,18,$160,4,$400,2,$30,0,$60,0,$120,1,$300,0,$30,1,$60,0,$120,1,$300,0,$290,5,$580,1,"$1,450",0,$40,19,$80,12,$200,2
"Oct. 14, 2020: Midday",04/12/2021,4 - 3 - 5,$250,3,$500,4,"$1,000",0,"$2,500",0,$40,11,$80,17,$160,1,$400,1,$30,2,$60,4,$120,0,$300,0,$30,1,$60,0,$120,2,$300,1,$290,2,$580,0,"$1,450",0,$40,43,$80,7,$200,0
"Oct. 13, 2020: Midday",04/11/2021,3 - 1 - 7,$250,6,$500,6,"$1,000",0,"$2,500",1,$40,13,$80,11,$160,3,$400,5,$30,3,$60,5,$120,1,$300,0,$30,1,$60,3,$120,0,$300,0,$290,5,$580,1,"$1,450",0,$40,38,$80,4,$200,0
"Oct. 13, 2020: Evening",04/11/2021,9 - 8 - 8,$250,4,$500,1,"$1,000",0,"$2,500",0,$80,9,$160,3,$320,0,$800,1,$30,0,$60,2,$120,1,$300,0,$30,3,$60,2,$120,1,$300,1,$330,2,$660,1,"$1,650",0,$80,3,$160,1,$400,0
"Oct. 12, 2020: Evening",04/10/2021,9 - 2 - 3,$250,2,$500,6,"$1,000",0,"$2,500",0,$40,12,$80,6,$160,1,$400,0,$30,1,$60,1,$120,0,$300,0,$30,1,$60,4,$120,2,$300,0,$290,6,$580,2,"$1,450",0,$40,23,$80,4,$200,0
"Oct. 12, 2020: Midday",04/10/2021,0 - 8 - 8,$250,3,$500,3,"$1,000",0,"$2,500",0,$80,8,$160,2,$320,0,$800,0,$30,1,$60,0,$120,2,$300,0,$30,1,$60,3,$120,2,$300,0,$330,0,$660,0,"$1,650",0,$80,9,$160,0,$400,0
"Oct. 11, 2020: Evening",04/09/2021,1 - 9 - 1,$250,4,$500,4,"$1,000",0,"$2,500",0,$80,10,$160,14,$320,3,$800,2,$30,1,$60,1,$120,0,$300,0,$30,3,$60,1,$120,2,$300,0,$330,3,$660,0,"$1,650",0,$80,39,$160,4,$400,1
"Oct. 11, 2020: Midday",04/09/2021,7 - 4 - 7,$250,1,$500,3,"$1,000",0,"$2,500",0,$80,8,$160,4,$320,0,$800,1,$30,1,$60,1,$120,1,$300,1,$30,1,$60,2,$120,1,$300,3,$330,19,$660,1,"$1,650",0,$80,21,$160,0,$400,0
"Oct. 10, 2020: Evening",04/08/2021,7 - 4 - 0,$250,1,$500,2,"$1,000",1,"$2,500",0,$40,8,$80,11,$160,2,$400,2,$30,1,$60,1,$120,2,$300,0,$30,2,$60,3,$120,0,$300,2,$290,2,$580,0,"$1,450",0,$40,20,$80,7,$200,0
"Oct. 10, 2020: Midday",04/08/2021,5 - 7 - 1,$250,2,$500,6,"$1,000",1,"$2,500",0,$40,13,$80,18,$160,3,$400,1,$30,0,$60,0,$120,0,$300,0,$30,1,$60,2,$120,2,$300,0,$290,3,$580,0,"$1,450",0,$40,43,$80,4,$200,0
"Oct. 9, 2020: Midday",04/07/2021,7 - 0 - 4,$250,1,$500,1,"$1,000",0,"$2,500",0,$40,2,$80,4,$160,0,$400,1,$30,1,$60,0,$120,0,$300,1,$30,0,$60,0,$120,3,$300,0,$290,4,$580,0,"$1,450",0,$40,15,$80,1,$200,0
"Oct. 9, 2020: Evening",04/07/2021,7 - 6 - 7,$250,1,$500,3,"$1,000",0,"$2,500",0,$80,6,$160,3,$320,0,$800,0,$30,0,$60,0,$120,0,$300,0,$30,0,$60,1,$120,0,$300,0,$330,8,$660,0,"$1,650",0,$80,2,$160,2,$400,0
"Oct. 8, 2020: Midday",04/06/2021,6 - 6 - 3,$250,2,$500,2,"$1,000",0,"$2,500",0,$80,4,$160,1,$320,1,$800,1,$30,3,$60,1,$120,0,$300,0,$30,1,$60,0,$120,0,$300,0,$330,4,$660,0,"$1,650",0,$80,11,$160,0,$400,0
"Oct. 8, 2020: Evening",04/06/2021,1 - 0 - 8,$250,7,$500,11,"$1,000",0,"$2,500",0,$40,12,$80,8,$160,2,$400,2,$30,1,$60,1,$120,0,$300,0,$30,0,$60,2,$120,0,$300,0,$290,6,$580,2,"$1,450",0,$40,16,$80,6,$200,1
"Oct. 7, 2020: Evening",04/05/2021,9 - 6 - 2,$250,1,$500,11,"$1,000",0,"$2,500",0,$40,4,$80,9,$160,4,$400,2,$30,1,$60,3,$120,2,$300,0,$30,3,$60,1,$120,0,$300,1,$290,7,$580,0,"$1,450",1,$40,32,$80,5,$200,1
"Oct. 7, 2020: Midday",04/05/2021,9 - 6 - 4,$250,0,$500,4,"$1,000",0,"$2,500",0,$40,10,$80,5,$160,2,$400,0,$30,2,$60,1,$120,2,$300,0,$30,1,$60,2,$120,1,$300,0,$290,3,$580,0,"$1,450",0,$40,27,$80,3,$200,0
"Oct. 6, 2020: Evening",04/04/2021,5 - 8 - 2,$250,1,$500,3,"$1,000",0,"$2,500",0,$40,28,$80,8,$160,2,$400,1,$30,1,$60,2,$120,2,$300,1,$30,1,$60,2,$120,1,$300,0,$290,2,$580,0,"$1,450",0,$40,27,$80,9,$200,0
"Oct. 6, 2020: Midday",04/04/2021,0 - 8 - 5,$250,0,$500,0,"$1,000",0,"$2,500",0,$40,11,$80,5,$160,3,$400,1,$30,1,$60,0,$120,1,$300,0,$30,1,$60,1,$120,0,$300,0,$290,1,$580,0,"$1,450",0,$40,14,$80,2,$200,1
"Oct. 5, 2020: Evening",04/03/2021,5 - 5 - 8,$250,1,$500,8,"$1,000",0,"$2,500",0,$80,0,$160,2,$320,0,$800,0,$30,4,$60,1,$120,4,$300,3,$30,0,$60,0,$120,0,$300,1,$330,3,$660,1,"$1,650",0,$80,18,$160,0,$400,0
"Oct. 5, 2020: Midday",04/03/2021,4 - 5 - 3,$250,3,$500,1,"$1,000",0,"$2,500",5,$40,8,$80,9,$160,1,$400,2,$30,1,$60,1,$120,1,$300,0,$30,0,$60,0,$120,1,$300,0,$290,3,$580,1,"$1,450",3,$40,42,$80,5,$200,0
"Oct. 4, 2020: Evening",04/02/2021,6 - 4 - 1,$250,4,$500,2,"$1,000",0,"$2,500",0,$40,18,$80,24,$160,3,$400,1,$30,2,$60,0,$120,0,$300,0,$30,3,$60,0,$120,0,$300,4,$290,9,$580,2,"$1,450",0,$40,30,$80,6,$200,0
"Oct. 4, 2020: Midday",04/02/2021,7 - 0 - 7,$250,2,$500,17,"$1,000",0,"$2,500",0,$80,8,$160,3,$320,3,$800,0,$30,2,$60,0,$120,0,$300,0,$30,1,$60,1,$120,1,$300,0,$330,10,$660,1,"$1,650",1,$80,11,$160,2,$400,0
"Oct. 3, 2020: Midday",04/01/2021,1 - 6 - 5,$250,2,$500,2,"$1,000",0,"$2,500",0,$40,9,$80,10,$160,1,$400,2,$30,4,$60,1,$120,0,$300,0,$30,2,$60,2,$120,1,$300,1,$290,1,$580,0,"$1,450",0,$40,34,$80,4,$200,2
"Oct. 3, 2020: Evening",04/01/2021,1 - 8 - 6,$250,2,$500,0,"$1,000",0,"$2,500",0,$40,12,$80,15,$160,3,$400,3,$30,5,$60,2,$120,0,$300,6,$30,1,$60,0,$120,0,$300,0,$290,5,$580,0,"$1,450",0,$40,34,$80,5,$200,0
"Oct. 2, 2020: Midday",03/31/2021,2 - 6 - 5,$250,4,$500,0,"$1,000",0,"$2,500",0,$40,7,$80,7,$160,0,$400,0,$30,1,$60,0,$120,1,$300,0,$30,5,$60,0,$120,1,$300,1,$290,5,$580,0,"$1,450",1,$40,25,$80,4,$200,1
"Oct. 2, 2020: Evening",03/31/2021,7 - 1 - 1,$250,11,$500,15,"$1,000",0,"$2,500",1,$80,19,$160,15,$320,9,$800,2,$30,0,$60,2,$120,6,$300,1,$30,3,$60,5,$120,6,$300,1,$330,22,$660,0,"$1,650",1,$80,20,$160,2,$400,0
"Oct. 1, 2020: Midday",03/30/2021,8 - 2 - 9,$250,6,$500,3,"$1,000",0,"$2,500",0,$40,12,$80,5,$160,1,$400,1,$30,2,$60,0,$120,1,$300,0,$30,2,$60,2,$120,1,$300,0,$290,9,$580,2,"$1,450",0,$40,28,$80,1,$200,0
"Oct. 1, 2020: Evening",03/30/2021,6 - 4 - 9,$250,2,$500,1,"$1,000",0,"$2,500",0,$40,9,$80,8,$160,0,$400,5,$30,0,$60,0,$120,0,$300,0,$30,3,$60,3,$120,0,$300,0,$290,8,$580,0,"$1,450",0,$40,27,$80,3,$200,0
"Sept. 30, 2020: Midday",03/29/2021,6 - 4 - 9,$250,0,$500,2,"$1,000",0,"$2,500",0,$40,6,$80,5,$160,0,$400,0,$30,2,$60,1,$120,1,$300,0,$30,1,$60,3,$120,0,$300,3,$290,2,$580,0,"$1,450",0,$40,19,$80,1,$200,0
"Sept. 30, 2020: Evening",03/29/2021,0 - 4 - 5,$250,2,$500,0,"$1,000",0,"$2,500",0,$40,8,$80,8,$160,1,$400,1,$30,1,$60,3,$120,1,$300,0,$30,1,$60,2,$120,3,$300,0,$290,2,$580,0,"$1,450",0,$40,18,$80,5,$200,0
"Sept. 29, 2020: Midday",03/28/2021,3 - 7 - 6,$250,1,$500,3,"$1,000",0,"$2,500",0,$40,5,$80,8,$160,0,$400,0,$30,1,$60,2,$120,1,$300,0,$30,0,$60,1,$120,0,$300,1,$290,1,$580,0,"$1,450",0,$40,20,$80,3,$200,0
"Sept. 29, 2020: Evening",03/28/2021,4 - 5 - 0,$250,0,$500,1,"$1,000",0,"$2,500",0,$40,6,$80,10,$160,1,$400,1,$30,1,$60,2,$120,1,$300,0,$30,2,$60,0,$120,1,$300,0,$290,1,$580,1,"$1,450",0,$40,19,$80,3,$200,0
"Sept. 28, 2020: Midday",03/27/2021,3 - 2 - 0,$250,2,$500,1,"$1,000",0,"$2,500",0,$40,9,$80,3,$160,1,$400,0,$30,3,$60,2,$120,0,$300,0,$30,1,$60,1,$120,1,$300,2,$290,2,$580,2,"$1,450",2,$40,10,$80,5,$200,0
"Sept. 28, 2020: Evening",03/27/2021,5 - 5 - 4,$250,1,$500,0,"$1,000",0,"$2,500",0,$80,7,$160,5,$320,0,$800,0,$30,4,$60,1,$120,5,$300,0,$30,1,$60,0,$120,1,$300,0,$330,2,$660,0,"$1,650",0,$80,11,$160,2,$400,0
"Sept. 27, 2020: Evening",03/26/2021,8 - 4 - 1,$250,1,$500,0,"$1,000",0,"$2,500",0,$40,6,$80,10,$160,2,$400,3,$30,2,$60,2,$120,2,$300,0,$30,3,$60,0,$120,0,$300,0,$290,0,$580,0,"$1,450",0,$40,24,$80,2,$200,1
"Sept. 27, 2020: Midday",03/26/2021,0 - 4 - 6,$250,0,$500,1,"$1,000",0,"$2,500",0,$40,3,$80,9,$160,0,$400,0,$30,0,$60,0,$120,0,$300,0,$30,0,$60,1,$120,0,$300,0,$290,0,$580,0,"$1,450",0,$40,13,$80,2,$200,0
"Sept. 26, 2020: Midday",03/25/2021,8 - 4 - 7,$250,6,$500,2,"$1,000",0,"$2,500",0,$40,9,$80,5,$160,5,$400,1,$30,1,$60,2,$120,1,$300,0,$30,1,$60,3,$120,2,$300,3,$290,6,$580,2,"$1,450",0,$40,13,$80,0,$200,0
"Sept. 26, 2020: Evening",03/25/2021,0 - 4 - 9,$250,0,$500,3,"$1,000",0,"$2,500",2,$40,8,$80,9,$160,1,$400,2,$30,0,$60,7,$120,0,$300,0,$30,2,$60,2,$120,1,$300,0,$290,4,$580,1,"$1,450",0,$40,21,$80,3,$200,0
"Sept. 25, 2020: Evening",03/24/2021,5 - 9 - 6,$250,1,$500,1,"$1,000",1,"$2,500",0,$40,7,$80,8,$160,1,$400,2,$30,0,$60,0,$120,1,$300,0,$30,0,$60,3,$120,1,$300,0,$290,3,$580,1,"$1,450",0,$40,31,$80,6,$200,0
"Sept. 25, 2020: Midday",03/24/2021,2 - 1 - 8,$250,2,$500,1,"$1,000",0,"$2,500",1,$40,15,$80,10,$160,6,$400,0,$30,2,$60,1,$120,2,$300,0,$30,0,$60,1,$120,0,$300,0,$290,14,$580,2,"$1,450",0,$40,32,$80,6,$200,1
"Sept. 24, 2020: Evening",03/23/2021,6 - 6 - 3,$250,1,$500,1,"$1,000",0,"$2,500",0,$80,5,$160,7,$320,1,$800,0,$30,2,$60,3,$120,4,$300,2,$30,1,$60,1,$120,3,$300,1,$330,4,$660,1,"$1,650",0,$80,12,$160,1,$400,2
"Sept. 24, 2020: Midday",03/23/2021,5 - 1 - 8,$250,2,$500,3,"$1,000",0,"$2,500",0,$40,7,$80,5,$160,2,$400,0,$30,1,$60,1,$120,0,$300,0,$30,2,$60,2,$120,1,$300,0,$290,1,$580,0,"$1,450",0,$40,22,$80,7,$200,1
"Sept. 23, 2020: Evening",03/22/2021,7 - 9 - 1,$250,1,$500,0,"$1,000",2,"$2,500",0,$40,12,$80,20,$160,9,$400,2,$30,0,$60,1,$120,1,$300,0,$30,2,$60,1,$120,2,$300,0,$290,3,$580,0,"$1,450",0,$40,36,$80,9,$200,5
"Sept. 23, 2020: Midday",03/22/2021,3 - 3 - 8,$250,0,$500,3,"$1,000",0,"$2,500",0,$80,5,$160,3,$320,1,$800,0,$30,5,$60,4,$120,3,$300,1,$30,0,$60,1,$120,0,$300,0,$330,4,$660,0,"$1,650",0,$80,10,$160,0,$400,0
"Sept. 22, 2020: Evening",03/21/2021,7 - 6 - 2,$250,3,$500,5,"$1,000",0,"$2,500",1,$40,15,$80,10,$160,13,$400,2,$30,1,$60,1,$120,1,$300,0,$30,1,$60,1,$120,2,$300,0,$290,3,$580,1,"$1,450",0,$40,27,$80,2,$200,1
"Sept. 22, 2020: Midday",03/21/2021,2 - 2 - 2,$250,23,$500,159,"$1,000",2,"$2,500",1,$80,0,$160,0,$320,0,$800,0,$30,3,$60,3,$120,6,$300,2,$30,5,$60,4,$120,5,$300,0,$330,0,$660,0,"$1,650",0,$80,0,$160,0,$400,0
"Sept. 21, 2020: Midday",03/20/2021,5 - 9 - 8,$250,0,$500,0,"$1,000",0,"$2,500",0,$40,5,$80,5,$160,0,$400,0,$30,0,$60,0,$120,2,$300,0,$30,1,$60,1,$120,0,$300,0,$290,1,$580,0,"$1,450",0,$40,8,$80,3,$200,0
"Sept. 21, 2020: Evening",03/20/2021,8 - 6 - 4,$250,2,$500,6,"$1,000",0,"$2,500",0,$40,9,$80,9,$160,2,$400,1,$30,2,$60,0,$120,1,$300,0,$30,2,$60,0,$120,0,$300,0,$290,2,$580,1,"$1,450",0,$40,22,$80,7,$200,3
"Sept. 20, 2020: Midday",03/19/2021,4 - 2 - 1,$250,6,$500,11,"$1,000",0,"$2,500",0,$40,16,$80,25,$160,6,$400,1,$30,3,$60,5,$120,1,$300,1,$30,4,$60,0,$120,6,$300,0,$290,11,$580,2,"$1,450",0,$40,77,$80,4,$200,1
"Sept. 20, 2020: Evening",03/19/2021,0 - 9 - 0,$250,0,$500,2,"$1,000",0,"$2,500",0,$80,5,$160,4,$320,0,$800,0,$30,1,$60,1,$120,1,$300,0,$30,0,$60,1,$120,0,$300,0,$330,1,$660,0,"$1,650",0,$80,9,$160,2,$400,0
"Sept. 19, 2020: Midday",03/18/2021,4 - 3 - 0,$250,5,$500,4,"$1,000",0,"$2,500",0,$40,4,$80,6,$160,0,$400,0,$30,7,$60,1,$120,0,$300,2,$30,2,$60,1,$120,2,$300,0,$290,4,$580,2,"$1,450",0,$40,9,$80,1,$200,1
